t (s),V (mV)
0,14.0335
1,14.0204
1.999,14.0037
2.999,13.9893
3.999,13.974
4.999,13.9568
6,13.9446
7,13.9264
8,13.9107
9,13.8937
9.999,13.879
11,13.8625
12,13.8465
12.999,13.8304
14,13.8147
15,13.7984
15.999,13.7834
17,13.7671
17.999,13.752
18.999,13.7338
20,13.7168
21,13.7036
21.999,13.6866
22.999,13.6691
24,13.6529
25,13.6387
26,13.6225
27,13.607
27.999,13.5912
29,13.5731
29.999,13.5579
31,13.5425
32,13.5261
32.999,13.5103
34,13.4937
35,13.4786
35.999,13.4623
36.999,13.4453
38,13.4304
38.999,13.4144
39.999,13.3989
40.999,13.3831
42,13.3669
42.999,13.3519
44,13.3362
45,13.3198
46,13.3051
46.999,13.2889
47.999,13.2745
49,13.2591
50,13.2438
50.999,13.228
51.999,13.2132
53,13.1978
54,13.1822
54.999,13.167
56,13.1517
57,13.1368
58,13.1216
59,13.1063
60,13.0913
61,13.0766
61.999,13.062
63,13.0456
63.999,13.031
65,13.0162
66,13.0004
66.999,12.9866
67.999,12.9712
69,12.956
69.999,12.9412
71,12.9198
71.999,12.9085
73,12.8965
74,12.8806
74.999,12.8662
76,12.8508
77,12.8377
78,12.823
79,12.8091
79.999,12.7944
81,12.7796
81.999,12.7647
83,12.7515
84,12.7365
85,12.7229
86,12.7061
87,12.6938
88,12.6792
89,12.665
89.999,12.6501
91,12.6359
91.999,12.6215
93,12.6072
94,12.5935
95,12.5783
96,12.5637
97,12.5488
98,12.5347
99,12.5205
99.999,12.5057
101,12.4909
102,12.4768
102.999,12.4653
104,12.4511
105,12.434
105.999,12.4199
107,12.4058
108,12.3904
109,12.3774
109.999,12.3636
111,12.3497
112,12.3347
112.999,12.3199
113.999,12.3057
115,12.2908
116,12.278
117,12.2637
118,12.2502
119,12.2366
120,12.2229
120.999,12.2102
122,12.195
123,12.1815
124,12.1676
125,12.1541
126,12.1402
127,12.1263
127.999,12.113
129,12.0987
130,12.0844
131,12.0706
131.999,12.0574
133,12.0444
134,12.0306
134.999,12.0169
136,12.004
137,11.9895
138,11.9762
139,11.961
140,11.9516
140.999,11.9365
142,11.923
143,11.9107
144,11.896
145,11.8829
146,11.8703
147,11.8566
148,11.8431
148.999,11.8308
150,11.8177
151,11.8052
152,11.7917
152.999,11.7789
154,11.7657
155,11.755
156,11.738
157,11.7262
157.999,11.7128
159,11.6991
160,11.6855
161,11.672
162,11.659
162.999,11.6452
164,11.6319
165,11.6183
165.999,11.6057
167,11.5923
168,11.579
168.999,11.5652
170,11.5518
171,11.5385
172,11.5247
172.999,11.5128
174,11.499
175,11.4862
176,11.4733
177,11.4596
178,11.4472
179,11.4338
180,11.4204
180.999,11.4081
181.999,11.3951
182.999,11.3822
183.999,11.3697
185,11.3573
186,11.3448
186.999,11.3308
187.999,11.3183
189,11.3058
190,11.2933
191,11.2803
192,11.2677
193,11.2553
194,11.2421
194.999,11.2302
196,11.2176
197,11.2058
198,11.1927
199,11.1811
199.999,11.1669
201,11.1551
202,11.143
203,11.1311
203.999,11.1191
205,11.1064
206,11.0942
207,11.0822
207.999,11.0694
209,11.0573
210,11.0445
210.999,11.0317
212,11.0201
212.999,11.008
214,10.9968
215,10.9829
216,10.9715
216.999,10.9587
217.999,10.9462
219,10.9338
220,10.9222
221,10.9089
221.999,10.8974
223,10.8855
223.999,10.8727
225,10.8609
226,10.8488
227,10.836
227.999,10.8241
229,10.8127
230,10.8002
230.999,10.7885
232,10.7773
233,10.7648
233.999,10.7533
235,10.7416
236,10.7284
237,10.7171
237.999,10.705
239,10.6926
240,10.6806
240.999,10.6692
242,10.658
243,10.6462
243.999,10.633
245,10.6228
246,10.6104
246.999,10.5986
247.998,10.5875
248.998,10.5743
249.999,10.5633
250.998,10.5518
251.999,10.54
252.999,10.5288
253.999,10.5164
254.998,10.5046
255.998,10.493
256.999,10.4813
257.999,10.4692
258.998,10.4578
259.998,10.4471
260.998,10.4353
261.998,10.4237
262.998,10.4125
263.998,10.4012
264.998,10.3901
265.998,10.3781
266.998,10.3661
267.998,10.3543
268.999,10.3441
269.999,10.3324
271,10.3206
271.999,10.3093
272.999,10.2984
273.999,10.287
274.999,10.2755
275.998,10.2637
276.999,10.2541
277.999,10.2424
278.999,10.2318
279.999,10.2209
280.999,10.2096
281.998,10.1987
282.999,10.187
283.998,10.1759
284.999,10.1655
285.998,10.1541
286.999,10.1425
287.998,10.133
288.999,10.1213
289.998,10.1099
290.999,10.0989
291.999,10.0876
292.998,10.0775
293.999,10.0658
294.999,10.0551
295.998,10.0434
297,10.0317
297.999,10.0213
298.999,10.0111
299.998,10.0001
301,9.9887
302,9.9769
303,9.966
304,9.9548
305,9.9443
305.999,9.9338
307,9.9229
307.999,9.9117
308.999,9.9009
309.999,9.8899
311,9.8787
311.999,9.8681
313,9.8574
314,9.8467
315,9.8364
316,9.8252
317,9.815
318,9.8041
319,9.7943
320,9.7816
321,9.7717
322,9.7603
322.999,9.7487
323.999,9.7378
325,9.7268
326,9.7161
326.999,9.7053
327.999,9.6943
328.999,9.6839
329.999,9.6738
330.999,9.6632
332,9.6522
333,9.641
334,9.6311
335,9.6206
336,9.6101
337,9.5991
338,9.5874
339,9.5789
340,9.568
341,9.557
342,9.5462
343,9.5354
344,9.5253
345,9.5137
346,9.5036
347,9.4934
348,9.4834
349,9.4716
350,9.462
351,9.4527
352,9.4423
353,9.4318
354,9.4213
355,9.4123
356,9.4009
357,9.3922
358,9.3822
359,9.3723
360,9.3613
361,9.3526
362,9.341
363,9.3319
363.999,9.3218
365,9.311
366,9.3013
367,9.2916
368,9.281
368.999,9.2716
370,9.2613
371,9.2513
372,9.2412
373,9.2314
374,9.2208
375,9.2122
376,9.2013
377,9.192
378,9.1818
379,9.1722
380,9.1622
381,9.1526
382,9.1425
382.999,9.1348
384.001,9.1236
385,9.1136
386,9.1028
387,9.0945
388,9.0845
388.999,9.0747
390,9.0654
391,9.0555
391.999,9.0462
393,9.0362
393.999,9.0267
395,9.0166
396,9.0071
397,8.9966
398,8.9876
399,8.9771
400,8.9677
401,8.9583
402,8.9482
403,8.9393
403.999,8.9297
404.999,8.9195
406,8.9092
407,8.9002
407.999,8.8913
409,8.8816
410,8.8727
411,8.8619
412,8.8518
413,8.8431
413.999,8.8337
415,8.824
416,8.8147
417,8.8056
418,8.7947
419,8.7857
420,8.7765
421,8.7667
421.999,8.7581
423,8.7479
424,8.7386
425,8.7284
425.999,8.7199
426.999,8.7102
428,8.7005
429,8.6909
430,8.6824
431,8.6734
432,8.6642
433,8.6552
433.999,8.6454
435,8.6371
435.999,8.6282
437,8.6194
438,8.6101
439,8.6009
440,8.5915
441,8.5821
442,8.5728
443,8.5639
444,8.5542
445,8.5452
446,8.5357
447,8.5261
448,8.5169
448.999,8.5071
449.999,8.4976
451,8.4893
452,8.48
453,8.4707
454,8.4613
455,8.4515
456,8.4436
457,8.4342
458,8.426
459,8.4164
460,8.4077
461,8.3985
462,8.3903
463,8.3804
464,8.3721
465,8.3626
466,8.3541
467,8.3455
468,8.3365
469,8.3279
470,8.3192
471,8.3103
471.999,8.3011
472.999,8.2921
474,8.2839
475,8.2751
